ID,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability,AgeGroup,Duration of credit,Credit Amount Group
739,no account,36,existing  credits paid back duly till now,used car,8133,poor,1 to 4 years,less,female,married,0,1 to 4 years,insurance,30,bank,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
740,no account,18,delay history,furniture/equipment,1808,poor,4 to 7 years,most,female,married,0,less than 1 year,property,22,none,own,1,skilled,0,0,1,Bad,Youth,within 2 year,less than 2k
741,no account,24,existing  credits paid back duly till now,furniture/equipment,5943,none,less than 1  year,less,female,married,0,less than 1 year,saving,44,none,own,more than 1,skilled,0,1,1,Bad,Old.Adult,more than 2 year,middle
742,no account,60,existing  credits paid back duly till now,furniture/equipment,10144,moderate,4 to 7 years,moderate,female,married,0,more than 7 years,property,21,none,own,1,skilled,0,1,1,Good,Youth,more than 2 year,more than 10k
743,no account,18,existing  credits paid back duly till now,new car,1820,poor,1 to 4 years,moderate,male,married,0,1 to 4 years,insurance,30,none,own,1,office,0,1,1,Good,Adult,within 2 year,less than 2k
744,poor,24,all credits at this bank paid back duly,education,1837,poor,4 to 7 years,most,female,married,0,more than 7 years,none,34,bank,free,1,unskilled,0,0,1,Bad,Adult,more than 2 year,less than 2k
745,poor,24,existing  credits paid back duly till now,new car,1355,poor,less than 1  year,moderate,female,married,0,more than 7 years,saving,25,none,own,1,unskilled,0,1,1,Bad,Adult,more than 2 year,less than 2k
746,no account,18,other bank,furniture/equipment,2404,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,saving,26,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,middle
747,no account,12,delay history,used car,1503,poor,1 to 4 years,most,male,married,0,more than 7 years,property,41,none,rent,1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
748,poor,9,other bank,education,1501,poor,more than 7 years,moderate,female,married,0,4 to 7 years,saving,34,none,own,more than 1,office,0,1,1,Bad,Adult,within 1 year,less than 2k
749,Negative,24,existing  credits paid back duly till now,new car,1371,none,1 to 4 years,most,female,married,0,more than 7 years,property,25,none,rent,1,skilled,0,0,1,Bad,Adult,more than 2 year,less than 2k
750,no account,30,other bank,furniture/equipment,6742,none,4 to 7 years,moderate,male,single,0,4 to 7 years,insurance,36,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
751,no account,24,other bank,furniture/equipment,1585,poor,4 to 7 years,most,male,single,0,4 to 7 years,insurance,40,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,more than 2 year,less than 2k
752,poor,12,existing  credits paid back duly till now,furniture/equipment,3017,poor,less than 1  year,moderate,female,married,0,less than 1 year,property,34,none,rent,1,office,0,0,1,Good,Adult,within 2 year,middle
753,Negative,60,delay history,business,6836,poor,more than 7 years,moderate,male,single,0,more than 7 years,none,63,none,own,more than 1,skilled,0,1,1,Bad,Old.Adult,more than 2 year,middle
754,no account,9,existing  credits paid back duly till now,furniture/equipment,2697,poor,1 to 4 years,less,male,single,0,1 to 4 years,property,32,none,own,1,skilled,1,0,1,Good,Adult,within 1 year,middle
755,Negative,12,existing  credits paid back duly till now,new car,759,poor,4 to 7 years,most,male,single,0,1 to 4 years,property,26,none,own,1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
756,no account,9,existing  credits paid back duly till now,furniture/equipment,1980,poor,less than 1  year,moderate,female,married,1,1 to 4 years,saving,19,none,rent,more than 1,skilled,0,0,1,Bad,Youth,within 1 year,less than 2k
757,Negative,6,existing  credits paid back duly till now,furniture/equipment,2647,moderate,1 to 4 years,moderate,male,single,0,4 to 7 years,property,44,none,rent,1,skilled,1,0,1,Good,Old.Adult,within 1 year,middle
758,no account,18,existing  credits paid back duly till now,furniture/equipment,1533,poor,less than 1  year,most,male,married,1,less than 1 year,insurance,43,none,own,1,unskilled,1,0,1,Bad,Old.Adult,within 2 year,less than 2k
759,poor,48,existing  credits paid back duly till now,business,15672,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,23,none,own,1,skilled,0,1,1,Bad,Youth,more than 2 year,more than 10k
760,Negative,6,existing  credits paid back duly till now,domestic appliances,343,poor,less than 1  year,most,female,married,0,less than 1 year,property,27,none,own,1,skilled,0,0,1,Good,Adult,within 1 year,less than 2k
761,no account,42,existing  credits paid back duly till now,furniture/equipment,7166,none,4 to 7 years,moderate,male,married,0,more than 7 years,insurance,29,none,rent,1,skilled,0,1,1,Good,Adult,more than 2 year,middle
762,Negative,15,other bank,furniture/equipment,1478,poor,more than 7 years,most,male,single,0,more than 7 years,saving,44,none,own,more than 1,skilled,1,1,1,Good,Old.Adult,within 2 year,less than 2k
763,no account,12,other bank,education,2096,poor,4 to 7 years,moderate,male,single,0,4 to 7 years,property,49,none,own,1,unskilled,1,0,1,Good,Old.Adult,within 2 year,middle
764,no account,36,delay history,business,7980,none,less than 1  year,most,male,single,0,more than 7 years,saving,27,none,rent,more than 1,skilled,0,1,1,Bad,Adult,more than 2 year,middle
765,no account,30,other bank,used car,7596,none,more than 7 years,less,male,single,0,more than 7 years,saving,63,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
766,no account,6,all credits at this bank paid back duly,new car,783,none,1 to 4 years,less,male,single,1,1 to 4 years,property,26,stores,own,1,unskilled,1,0,1,Good,Adult,within 1 year,less than 2k
767,no account,6,existing  credits paid back duly till now,new car,672,poor,unemployed,less,female,married,0,more than 7 years,property,54,none,own,1,unemployed,0,1,1,Good,Old.Adult,within 1 year,less than 2k
768,no account,24,other bank,used car,6842,none,1 to 4 years,moderate,male,single,0,more than 7 years,insurance,46,none,own,more than 1,office,1,1,1,Good,Old.Adult,more than 2 year,middle
769,no account,24,existing  credits paid back duly till now,furniture/equipment,1533,poor,less than 1  year,most,female,married,0,4 to 7 years,saving,38,stores,own,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,less than 2k
770,no account,24,other bank,used car,3868,poor,more than 7 years,most,female,married,0,1 to 4 years,saving,41,none,rent,more than 1,office,0,1,1,Good,Old.Adult,more than 2 year,middle
771,poor,36,existing  credits paid back duly till now,used car,9398,poor,less than 1  year,less,male,married,0,more than 7 years,saving,28,none,rent,1,office,0,1,1,Bad,Adult,more than 2 year,middle
772,Negative,12,existing  credits paid back duly till now,education,1200,none,1 to 4 years,most,female,married,0,more than 7 years,insurance,23,bank,rent,1,skilled,0,1,1,Good,Youth,within 2 year,less than 2k
773,poor,12,existing  credits paid back duly till now,furniture/equipment,1567,poor,1 to 4 years,less,female,married,0,less than 1 year,saving,22,none,own,1,skilled,0,1,1,Good,Youth,within 2 year,less than 2k
774,no account,36,other bank,business,6304,none,more than 7 years,most,male,single,0,more than 7 years,property,36,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
775,no account,6,other bank,furniture/equipment,1898,none,1 to 4 years,less,male,single,0,1 to 4 years,property,34,none,own,more than 1,unskilled,1,0,1,Good,Adult,within 1 year,less than 2k
776,no account,24,all credits at this bank paid back duly,business,1559,poor,4 to 7 years,most,male,single,0,more than 7 years,saving,40,bank,own,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,less than 2k
777,Negative,9,existing  credits paid back duly till now,furniture/equipment,2136,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,25,none,own,1,skilled,0,0,1,Good,Adult,within 1 year,middle
778,rich,24,existing  credits paid back duly till now,furniture/equipment,3749,poor,less than 1  year,moderate,female,married,0,more than 7 years,saving,26,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
779,Negative,9,other bank,new car,2799,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,36,none,rent,more than 1,skilled,1,0,1,Good,Old.Adult,within 1 year,middle
780,Negative,48,existing  credits paid back duly till now,new car,3931,poor,4 to 7 years,most,male,single,0,more than 7 years,none,46,none,free,1,skilled,1,0,1,Bad,Old.Adult,more than 2 year,middle
781,no account,6,other bank,furniture/equipment,1382,poor,1 to 4 years,less,female,married,0,less than 1 year,saving,28,none,own,more than 1,skilled,0,1,1,Good,Adult,within 1 year,less than 2k
782,no account,9,existing  credits paid back duly till now,furniture/equipment,2753,moderate,more than 7 years,moderate,male,single,1,more than 7 years,saving,35,none,own,1,skilled,0,1,1,Good,Adult,within 1 year,middle
783,no account,15,delay history,furniture/equipment,960,rich,4 to 7 years,moderate,female,married,0,1 to 4 years,insurance,30,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
784,no account,36,existing  credits paid back duly till now,furniture/equipment,2394,none,1 to 4 years,most,female,married,0,more than 7 years,saving,25,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
785,Negative,12,existing  credits paid back duly till now,domestic appliances,741,moderate,unemployed,most,female,married,0,4 to 7 years,insurance,22,none,own,1,skilled,0,0,1,Bad,Youth,within 2 year,less than 2k
786,poor,27,existing  credits paid back duly till now,business,2528,poor,less than 1  year,most,female,married,0,less than 1 year,insurance,32,none,own,1,skilled,1,1,1,Good,Adult,more than 2 year,middle
787,no account,24,other bank,new car,2463,moderate,4 to 7 years,most,male,married,0,4 to 7 years,insurance,27,none,own,more than 1,skilled,0,1,1,Good,Adult,more than 2 year,middle
788,no account,24,existing  credits paid back duly till now,furniture/equipment,5511,moderate,1 to 4 years,most,male,single,0,less than 1 year,saving,25,stores,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
789,no account,36,existing  credits paid back duly till now,furniture/equipment,10974,poor,unemployed,most,female,married,0,1 to 4 years,saving,26,none,own,more than 1,office,0,1,1,Bad,Adult,more than 2 year,more than 10k
790,no account,36,existing  credits paid back duly till now,education,1819,poor,1 to 4 years,most,male,single,0,more than 7 years,none,37,stores,free,1,skilled,0,1,1,Bad,Old.Adult,more than 2 year,less than 2k
791,Negative,12,existing  credits paid back duly till now,new car,1893,poor,1 to 4 years,most,female,married,1,more than 7 years,insurance,29,none,own,1,skilled,0,1,1,Good,Adult,within 2 year,less than 2k
792,rich,6,existing  credits paid back duly till now,new car,709,rich,less than 1  year,moderate,male,married,0,1 to 4 years,property,27,none,own,1,unemployed,0,0,0,Good,Adult,within 1 year,less than 2k
793,poor,20,existing  credits paid back duly till now,used car,6468,none,unemployed,less,male,single,0,more than 7 years,property,60,none,own,1,office,0,1,1,Good,Old.Adult,within 2 year,middle
794,no account,12,delay history,repairs,1555,rich,more than 7 years,most,male,single,0,more than 7 years,none,55,none,free,more than 1,skilled,1,0,1,Bad,Old.Adult,within 2 year,less than 2k
795,no account,12,existing  credits paid back duly till now,furniture/equipment,2141,moderate,4 to 7 years,moderate,male,single,0,less than 1 year,none,35,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
796,Negative,9,other bank,furniture/equipment,1138,poor,1 to 4 years,most,male,single,0,more than 7 years,property,25,none,own,more than 1,unskilled,0,0,1,Good,Adult,within 1 year,less than 2k
797,Negative,24,existing  credits paid back duly till now,furniture/equipment,1938,poor,less than 1  year,most,male,single,0,4 to 7 years,insurance,32,none,own,1,skilled,0,0,1,Bad,Adult,more than 2 year,less than 2k
798,Negative,12,other bank,new car,2122,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,39,none,rent,more than 1,unskilled,1,0,0,Good,Old.Adult,within 2 year,middle
799,no account,24,existing  credits paid back duly till now,business,1258,poor,4 to 7 years,most,male,single,0,less than 1 year,property,25,none,own,1,skilled,0,1,1,Good,Adult,more than 2 year,less than 2k
800,no account,4,existing  credits paid back duly till now,furniture/equipment,601,poor,less than 1  year,less,female,married,0,4 to 7 years,property,23,none,rent,1,unskilled,1,0,1,Good,Youth,within 1 year,less than 2k
801,Negative,24,existing  credits paid back duly till now,new car,3123,poor,less than 1  year,most,female,married,0,less than 1 year,insurance,27,none,own,1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
802,Negative,30,existing  credits paid back duly till now,furniture/equipment,2522,poor,more than 7 years,less,male,single,1,4 to 7 years,insurance,39,none,own,1,skilled,1,0,1,Good,Old.Adult,more than 2 year,middle
803,no account,18,existing  credits paid back duly till now,furniture/equipment,1126,none,less than 1  year,most,female,married,0,1 to 4 years,property,21,none,rent,1,skilled,0,1,1,Good,Youth,within 2 year,less than 2k
804,no account,18,other bank,furniture/equipment,6070,poor,more than 7 years,moderate,male,single,0,more than 7 years,saving,33,none,own,more than 1,skilled,0,1,1,Good,Adult,within 2 year,middle
805,Negative,9,existing  credits paid back duly till now,furniture/equipment,1366,poor,less than 1  year,moderate,female,married,0,more than 7 years,insurance,22,none,rent,1,skilled,0,0,1,Bad,Youth,within 1 year,less than 2k
806,poor,15,existing  credits paid back duly till now,furniture/equipment,802,poor,more than 7 years,most,male,single,0,4 to 7 years,saving,37,none,own,1,skilled,1,0,1,Bad,Old.Adult,within 2 year,less than 2k
807,no account,6,existing  credits paid back duly till now,furniture/equipment,518,poor,1 to 4 years,moderate,female,married,0,less than 1 year,property,29,none,own,1,skilled,0,0,1,Good,Adult,within 1 year,less than 2k
808,Negative,18,existing  credits paid back duly till now,furniture/equipment,2473,poor,unemployed,most,male,single,0,less than 1 year,saving,25,none,own,1,unemployed,0,0,1,Bad,Adult,within 2 year,middle
809,no account,24,other bank,new car,1940,rich,more than 7 years,most,male,single,0,more than 7 years,property,60,none,own,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,less than 2k
810,no account,48,other bank,education,6110,poor,1 to 4 years,less,male,single,0,4 to 7 years,none,31,bank,free,1,skilled,0,1,1,Good,Adult,more than 2 year,middle
811,poor,12,other bank,new car,1995,moderate,less than 1  year,most,male,single,0,less than 1 year,saving,27,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
812,Negative,18,existing  credits paid back duly till now,furniture/equipment,3190,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,property,24,none,own,1,skilled,0,0,1,Bad,Youth,within 2 year,middle
813,poor,24,existing  credits paid back duly till now,new car,2718,poor,1 to 4 years,moderate,female,married,0,more than 7 years,insurance,20,none,rent,1,unskilled,0,1,1,Bad,Youth,more than 2 year,middle
814,no account,12,existing  credits paid back duly till now,new car,640,poor,1 to 4 years,most,male,single,0,1 to 4 years,property,49,none,own,1,unskilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
815,no account,21,no credits taken/ all credits paid back duly,new car,5003,none,1 to 4 years,less,female,married,0,more than 7 years,insurance,29,bank,own,more than 1,skilled,0,1,1,Bad,Adult,within 2 year,middle
816,Negative,18,existing  credits paid back duly till now,furniture/equipment,1936,none,4 to 7 years,moderate,male,married,0,more than 7 years,saving,23,none,rent,more than 1,unskilled,0,0,1,Good,Youth,within 2 year,less than 2k
817,no account,48,existing  credits paid back duly till now,business,4844,poor,unemployed,moderate,male,single,0,1 to 4 years,saving,33,none,rent,1,office,0,1,1,Bad,Adult,more than 2 year,middle
818,Negative,48,existing  credits paid back duly till now,business,4308,poor,less than 1  year,moderate,female,married,0,more than 7 years,insurance,24,none,rent,1,skilled,0,0,1,Bad,Youth,more than 2 year,middle
819,no account,18,other bank,new car,2775,poor,4 to 7 years,moderate,male,single,0,1 to 4 years,insurance,31,bank,own,more than 1,skilled,0,0,1,Bad,Adult,within 2 year,middle
820,Negative,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,poor,1 to 4 years,moderate,male,single,0,more than 7 years,none,53,none,free,more than 1,skilled,1,0,1,Bad,Old.Adult,more than 2 year,middle
821,Negative,24,all credits at this bank paid back duly,used car,3632,poor,1 to 4 years,less,female,married,1,more than 7 years,saving,22,bank,rent,1,skilled,0,0,0,Good,Youth,more than 2 year,middle
822,Negative,6,other bank,new car,1361,poor,less than 1  year,moderate,male,single,0,more than 7 years,property,40,none,own,1,unskilled,1,0,0,Good,Old.Adult,within 1 year,less than 2k
823,no account,12,existing  credits paid back duly till now,business,1542,poor,4 to 7 years,moderate,male,single,0,more than 7 years,saving,36,none,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
824,Negative,36,existing  credits paid back duly till now,furniture/equipment,2712,poor,more than 7 years,moderate,male,single,0,1 to 4 years,insurance,41,bank,own,1,skilled,1,0,1,Bad,Old.Adult,more than 2 year,middle
825,Negative,48,existing  credits paid back duly till now,furniture/equipment,6999,poor,4 to 7 years,less,male,married,1,less than 1 year,property,34,none,own,more than 1,skilled,0,1,1,Bad,Adult,more than 2 year,middle
826,no account,36,existing  credits paid back duly till now,furniture/equipment,3835,none,more than 7 years,moderate,female,married,0,more than 7 years,property,45,none,own,1,unskilled,0,1,1,Good,Old.Adult,more than 2 year,middle
827,Negative,24,other bank,used car,6615,poor,unemployed,moderate,male,single,0,more than 7 years,none,75,none,free,more than 1,office,0,1,1,Good,Old.Adult,more than 2 year,middle
828,no account,24,existing  credits paid back duly till now,furniture/equipment,3621,moderate,more than 7 years,moderate,male,single,0,more than 7 years,saving,31,none,own,more than 1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
829,poor,24,existing  credits paid back duly till now,furniture/equipment,1967,poor,more than 7 years,most,female,married,0,more than 7 years,saving,20,none,own,1,skilled,0,1,1,Good,Youth,more than 2 year,less than 2k
830,no account,24,existing  credits paid back duly till now,furniture/equipment,3105,none,less than 1  year,most,male,single,0,1 to 4 years,saving,25,none,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,middle
831,Negative,18,existing  credits paid back duly till now,new car,2249,moderate,4 to 7 years,most,male,single,0,4 to 7 years,saving,30,none,own,1,office,1,1,1,Good,Adult,within 2 year,middle
832,rich,12,existing  credits paid back duly till now,furniture/equipment,1424,none,more than 7 years,moderate,female,married,0,more than 7 years,property,55,none,own,1,office,0,1,1,Good,Old.Adult,within 2 year,less than 2k
833,Negative,24,existing  credits paid back duly till now,used car,2812,none,more than 7 years,moderate,female,married,0,more than 7 years,property,26,none,rent,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
834,no account,27,other bank,furniture/equipment,4526,rich,less than 1  year,most,male,single,0,1 to 4 years,property,32,stores,own,more than 1,unskilled,1,1,1,Good,Adult,more than 2 year,middle
835,poor,18,no credits taken/ all credits paid back duly,furniture/equipment,3244,poor,1 to 4 years,less,female,married,0,more than 7 years,saving,33,bank,own,more than 1,skilled,0,1,1,Good,Adult,within 2 year,middle
836,no account,48,all credits at this bank paid back duly,business,3609,poor,1 to 4 years,less,female,married,0,less than 1 year,property,27,stores,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
837,poor,18,existing  credits paid back duly till now,furniture/equipment,1113,poor,1 to 4 years,most,female,married,1,more than 7 years,property,26,none,own,1,unskilled,1,0,1,Good,Adult,within 2 year,less than 2k
838,poor,12,existing  credits paid back duly till now,new car,1007,rich,1 to 4 years,most,male,married,0,less than 1 year,property,22,none,own,1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
839,no account,10,other bank,furniture/equipment,2146,poor,less than 1  year,less,female,married,0,4 to 7 years,property,23,none,rent,more than 1,skilled,0,0,1,Good,Youth,within 1 year,middle
840,poor,6,delay history,furniture/equipment,1050,poor,unemployed,most,male,single,0,less than 1 year,insurance,35,stores,own,more than 1,office,0,1,0,Good,Adult,within 1 year,less than 2k
841,no account,18,other bank,new car,1530,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,insurance,32,bank,own,more than 1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
842,poor,48,delay history,business,6681,none,1 to 4 years,most,male,single,0,more than 7 years,none,38,none,free,1,skilled,1,1,1,Good,Old.Adult,more than 2 year,middle
843,poor,36,delay history,new car,7432,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,insurance,54,none,rent,1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
844,no account,6,other bank,new car,6761,poor,4 to 7 years,less,male,single,0,4 to 7 years,none,45,none,own,more than 1,office,1,1,1,Good,Old.Adult,within 1 year,middle
845,rich,24,existing  credits paid back duly till now,furniture/equipment,1925,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,26,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,less than 2k
846,poor,6,existing  credits paid back duly till now,new car,14555,none,unemployed,less,male,single,0,1 to 4 years,insurance,23,none,own,1,unemployed,0,1,1,Bad,Youth,within 1 year,more than 10k
847,poor,9,existing  credits paid back duly till now,furniture/equipment,2118,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,37,none,own,1,unskilled,1,0,1,Good,Old.Adult,within 1 year,middle
848,Negative,12,other bank,new car,4843,poor,more than 7 years,moderate,male,single,1,more than 7 years,insurance,43,none,rent,more than 1,skilled,0,1,1,Bad,Old.Adult,within 2 year,middle
849,poor,24,delay history,furniture/equipment,2333,none,less than 1  year,most,male,single,0,1 to 4 years,insurance,29,bank,own,1,unskilled,0,0,1,Good,Adult,more than 2 year,middle
850,no account,6,existing  credits paid back duly till now,used car,1236,moderate,1 to 4 years,moderate,male,single,0,more than 7 years,insurance,50,none,rent,1,skilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
851,Negative,27,other bank,business,2442,poor,more than 7 years,most,male,single,0,more than 7 years,saving,43,stores,own,more than 1,office,1,1,1,Good,Old.Adult,more than 2 year,middle
852,Negative,24,all credits at this bank paid back duly,new car,2325,moderate,4 to 7 years,moderate,male,single,0,4 to 7 years,saving,32,bank,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
853,no account,36,delay history,business,9572,poor,less than 1  year,less,male,single,0,less than 1 year,saving,28,none,own,more than 1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
854,no account,18,other bank,furniture/equipment,1800,poor,1 to 4 years,most,male,single,0,1 to 4 years,saving,24,none,own,more than 1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
855,poor,18,other bank,furniture/equipment,1295,poor,less than 1  year,most,female,married,0,less than 1 year,insurance,27,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
856,Negative,13,other bank,business,1797,poor,less than 1  year,moderate,male,single,0,less than 1 year,insurance,28,bank,own,more than 1,unskilled,0,0,1,Good,Adult,within 2 year,less than 2k
857,rich,30,other bank,furniture/equipment,3656,none,more than 7 years,most,male,single,0,more than 7 years,insurance,49,stores,own,more than 1,unskilled,0,0,1,Good,Old.Adult,more than 2 year,middle
858,Negative,12,existing  credits paid back duly till now,furniture/equipment,1620,poor,1 to 4 years,moderate,female,married,1,4 to 7 years,insurance,30,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
859,no account,24,existing  credits paid back duly till now,education,937,poor,less than 1  year,most,male,married,0,4 to 7 years,saving,27,none,own,more than 1,unskilled,0,0,1,Good,Adult,more than 2 year,less than 2k
860,rich,42,no credits taken/ all credits paid back duly,business,6289,poor,less than 1  year,moderate,male,single,0,less than 1 year,insurance,33,none,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,middle
861,no account,24,other bank,furniture/equipment,2872,moderate,more than 7 years,moderate,male,single,0,more than 7 years,property,36,none,own,1,skilled,1,1,1,Good,Old.Adult,more than 2 year,middle
862,no account,30,existing  credits paid back duly till now,furniture/equipment,2333,moderate,more than 7 years,most,male,single,0,1 to 4 years,saving,30,bank,own,1,office,0,0,1,Good,Adult,more than 2 year,middle
863,poor,18,other bank,business,1887,none,1 to 4 years,most,male,married,0,more than 7 years,property,28,bank,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
864,no account,18,other bank,furniture/equipment,629,moderate,more than 7 years,most,male,single,0,4 to 7 years,insurance,32,bank,own,more than 1,office,0,1,1,Good,Adult,within 2 year,less than 2k
865,no account,60,delay history,furniture/equipment,15653,poor,4 to 7 years,moderate,male,single,0,more than 7 years,saving,21,none,own,more than 1,skilled,0,1,1,Good,Youth,more than 2 year,more than 10k
866,Negative,10,existing  credits paid back duly till now,furniture/equipment,2315,poor,more than 7 years,moderate,male,single,0,more than 7 years,property,52,none,own,1,unskilled,0,0,1,Good,Old.Adult,within 1 year,middle
867,no account,12,other bank,business,1185,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,property,27,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
868,poor,15,all credits at this bank paid back duly,new car,6850,moderate,unemployed,less,male,single,0,1 to 4 years,insurance,34,stores,own,1,office,1,1,1,Bad,Adult,within 2 year,middle
869,poor,36,delay history,new car,2862,moderate,more than 7 years,most,male,single,0,4 to 7 years,none,30,none,free,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
870,no account,15,existing  credits paid back duly till now,furniture/equipment,1979,none,more than 7 years,most,male,single,0,1 to 4 years,saving,35,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
871,no account,24,existing  credits paid back duly till now,furniture/equipment,999,none,more than 7 years,most,male,single,0,1 to 4 years,saving,25,none,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,less than 2k
872,Negative,15,existing  credits paid back duly till now,new car,3959,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,insurance,29,none,own,1,skilled,0,1,1,Bad,Adult,within 2 year,middle
873,Negative,36,existing  credits paid back duly till now,furniture/equipment,3446,poor,more than 7 years,most,male,single,0,1 to 4 years,saving,42,none,own,1,skilled,1,0,1,Bad,Old.Adult,more than 2 year,middle
874,no account,20,other bank,new car,3485,none,less than 1  year,moderate,male,single,0,more than 7 years,property,44,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 2 year,middle
875,rich,12,delay history,new car,2247,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,saving,36,stores,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 2 year,middle
876,poor,9,existing  credits paid back duly till now,furniture/equipment,1082,poor,more than 7 years,most,male,single,0,more than 7 years,saving,37,none,own,more than 1,unskilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
877,Negative,36,existing  credits paid back duly till now,new car,1842,poor,less than 1  year,most,female,married,0,more than 7 years,saving,34,none,own,1,skilled,0,1,1,Bad,Adult,more than 2 year,less than 2k
878,no account,12,existing  credits paid back duly till now,new car,2390,none,more than 7 years,most,male,single,0,4 to 7 years,saving,50,none,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,middle
879,Negative,24,all credits at this bank paid back duly,furniture/equipment,6872,poor,less than 1  year,moderate,male,single,0,less than 1 year,insurance,55,bank,own,1,skilled,0,1,1,Bad,Old.Adult,more than 2 year,middle
880,no account,18,existing  credits paid back duly till now,furniture/equipment,1453,poor,less than 1  year,moderate,female,married,0,less than 1 year,property,26,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
881,no account,36,no credits taken/ all credits paid back duly,repairs,2613,poor,1 to 4 years,most,male,single,0,1 to 4 years,saving,27,none,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,middle
882,poor,18,existing  credits paid back duly till now,used car,2779,poor,1 to 4 years,less,male,married,0,4 to 7 years,saving,21,none,rent,1,skilled,0,1,1,Good,Youth,within 2 year,middle
883,Negative,6,other bank,furniture/equipment,3384,poor,1 to 4 years,less,male,single,0,more than 7 years,property,44,none,rent,1,office,0,1,1,Bad,Old.Adult,within 1 year,middle
884,no account,15,existing  credits paid back duly till now,domestic appliances,874,none,less than 1  year,most,female,married,0,less than 1 year,property,24,none,own,1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
885,Negative,12,existing  credits paid back duly till now,furniture/equipment,674,moderate,4 to 7 years,most,male,married,0,less than 1 year,insurance,20,none,own,1,skilled,0,0,1,Bad,Youth,within 2 year,less than 2k
886,poor,18,existing  credits paid back duly till now,furniture/equipment,1924,none,less than 1  year,most,female,married,0,4 to 7 years,property,27,none,rent,1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
